describe,evaluate,introduce,movie_name,serial_number,star
自由万岁。,431305人评价,"
导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...
1975 / 美国 / 剧情
",飞越疯人院,63,9.1
一张面具背后的理想与革命。,760583人评价,"
导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...
2005 / 美国英国德国 / 剧情动作科幻惊悚
",V字仇杀队,64,8.9
在时间之河里感受溺水之苦。,707919人评价,"
导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...
2008 / 美国 / 剧情爱情奇幻
",本杰明·巴顿奇事,65,8.9
你以为你以为的就是你以为的。,833952人评价,"
导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...
2016 / 西班牙 / 剧情犯罪悬疑惊悚
",看不见的客人,66,8.8
你给我翻译翻译，神马叫做TMD的惊喜。,1152135人评价,"
导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...
2010 / 中国大陆中国香港 / 剧情喜剧动作西部
",让子弹飞,67,8.8
美丽无罪。,696418人评价,"
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...
2000 / 意大利美国 / 剧情战争情色
",西西里的美丽传说,68,8.9
奔跑的孩子是天使。,285756人评价,"
导演:马基德·马基迪MajidMajidi   主演:法拉赫阿米尔·哈什米安AmirFa...
1997 / 伊朗 / 剧情儿童家庭
",小鞋子,69,9.2
美利坚精神输出大片No1.,458339人评价,"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...
1998 / 美国 / 剧情历史战争
",拯救大兵瑞恩,70,9.0
海豚的微笑，是世界上最高明的伪装。,285256人评价,"
导演:路易·西霍尤斯LouiePsihoyos   主演:RichardO'Barry/路易·西霍...
2009 / 美国 / 纪录片
",海豚湾,71,9.3
暗恋的极致。,650220人评价,"
导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...
1995 / 日本 / 剧情爱情
",情书,72,8.9
去除成见，需要勇气。,1078177人评价,"
导演:彼得·法雷里PeterFarrelly   主演:维果·莫腾森ViggoMortensen/...
2018 / 美国 / 剧情喜剧传记
",绿皮书,73,8.9
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,353391人评价,"
导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield...
2008 / 英国美国 / 剧情战争
",穿条纹睡衣的男孩,74,9.1
用音乐化解仇恨，让歌声串起美好。,425941人评价,"
导演:罗伯特·怀斯RobertWise   主演:朱莉·安德鲁斯JulieAndrews/克...
1965 / 美国 / 剧情传记爱情歌舞
",音乐之声,75,9.0
